timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1771216194923,1123,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,1122,0,2
1771216194199,1862,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,1862,0,2
1771216194453,1770,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,1770,0,1
1771216194478,1756,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,1756,0,1
1771216195963,274,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,274,0,2
1771216194373,1878,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,1878,0,4
1771216194565,1848,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,1848,0,3
1771216194601,1819,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,1819,0,1
1771216196162,275,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,275,0,2
1771216196467,129,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,129,0,2
1771216196403,211,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,211,0,2
1771216196251,370,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,370,0,1
1771216196382,246,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,245,0,1
1771216195631,1006,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,1006,0,2
1771216196486,155,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,155,0,1
1771216196342,315,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,315,0,2
1771216196285,387,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,387,0,4
1771216196659,42,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,42,0,1
1771216194768,1953,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,1953,0,2
1771216196208,517,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,517,0,2
1771216196700,46,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,46,0,2
1771216195494,1266,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-11,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,1266,0,2
1771216196429,369,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,369,0,2
1771216196750,77,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,77,0,2
1771216196838,35,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,35,0,3
1771216196872,29,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,29,0,1
1771216196902,21,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,21,0,2
